//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//
央视频道,#genre#
CCTV1,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv1HD
CCTV2,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv2HD
CCTV3,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv3HD
CCTV4,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv4HD
CCTV5,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv5HD
CCTV6,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv6HD
CCTV8,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv8HD
CCTV9,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv9HD
CCTV10,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv10HD
CCTV11,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv11HD
CCTV12,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv12HD
CCTV14,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctvseHD
CCTV17,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv17HD
CCTV5+,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv5SportHD
CCTV1,http://rihou.cc:61/qiepian/as.php?id=cctv1hd
CCTV1,http://rihou.cc:61/qiepian/as.php?id=cctv1
CCTV2,http://rihou.cc:61/qiepian/as.php?id=cctv2hd
CCTV2,http://rihou.cc:61/qiepian/as.php?id=cctv2
CCTV3,http://rihou.cc:61/qiepian/as.php?id=cctv3hd
CCTV3,http://rihou.cc:61/qiepian/as.php?id=cctv3
CCTV5,http://rihou.cc:61/qiepian/as.php?id=cctv5hd
CCTV5,http://rihou.cc:61/qiepian/as.php?id=cctv5
CCTV5+,http://rihou.cc:61/qiepian/as.php?id=cctv5p
CCTV6,http://rihou.cc:61/qiepian/as.php?id=cctv6hd
CCTV6,http://rihou.cc:61/qiepian/as.php?id=cctv6
CCTV8,http://rihou.cc:61/qiepian/as.php?id=cctv8
CCTV9,http://rihou.cc:61/qiepian/as.php?id=cctv9hd
CCTV9,http://rihou.cc:61/qiepian/as.php?id=cctv9
CCTV10,http://rihou.cc:61/qiepian/as.php?id=cctv10
CCTV11,http://rihou.cc:61/qiepian/as.php?id=cctv11hd
CCTV11,http://rihou.cc:61/qiepian/as.php?id=cctv11
CCTV12,http://rihou.cc:61/qiepian/as.php?id=cctv12hd
CCTV12,http://rihou.cc:61/qiepian/as.php?id=cctv12
CCTV13,http://rihou.cc:61/qiepian/as.php?id=cctv13hd
CCTV13,http://rihou.cc:61/qiepian/as.php?id=cctv13
CCTV14,http://rihou.cc:61/qiepian/as.php?id=cctv14
CCTV15,http://rihou.cc:61/qiepian/as.php?id=cctv15hd
CCTV15,http://rihou.cc:61/qiepian/as.php?id=cctv15
CCTV 4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV5,http://111.20.40.173/PLTV/88888893/224/3221226395/index.m3u8
CCTV11,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8?
CCTV1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV2,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8?
CCTV3,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV4,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV5,http://111.20.40.173/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV5+,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV6,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV7,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV8,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV10,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV11,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8?
CCTV14,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV16,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8?$8M1080
CCTV17,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8?
CCTV1,http://111.20.35.103:6610/yinhe/2/ch00000090990000001018/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV1,http://111.20.35.103:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV1,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV1,http://42.176.185.28:9901/tsfile/live/1022_1.m3u8
CCTV1,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV2,http://111.20.35.103:6610/yinhe/2/ch00000090990000001021/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV2,http://111.20.35.103:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV2,http://111.20.35.103:6610/yinhe/2/ch00000090990000001840/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV2,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV3,http://111.20.40.173/PLTV/88888893/224/3221226397/index.m3u8
CCTV3,http://111.20.40.172/PLTV/88888893/224/3221226397/index.m3u8
CCTV3,http://111.20.40.167/PLTV/88888893/224/3221226397/index.m3u8
CCTV3,http://111.20.40.166/PLTV/88888893/224/3221226397/index.m3u8
CCTV3,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV3,http://111.20.35.103:6610/yinhe/2/ch00000090990000001009/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV3,http://111.20.35.103:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV3,http://123.6.9.146/live/jz-cctv-3/live.m3u8
CCTV4,http://111.20.40.173/PLTV/88888893/224/3221226191/index.m3u8
CCTV4,http://111.20.40.172/PLTV/88888893/224/3221226191/index.m3u8
CCTV4,http://111.20.40.164/PLTV/88888893/224/3221226191/index.m3u8
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://111.20.35.103:6610/yinhe/2/ch00000090990000001015/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV4,http://111.20.35.103:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV4,http://222.240.82.92:9901/tsfile/live/0004_1.m3u8
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV5,http://111.20.40.173/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://111.20.40.168/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://111.20.40.167/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://111.20.40.166/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://111.20.40.165/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://111.20.40.164/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://111.20.40.163/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://111.20.40.162/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://111.20.40.160/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://123.6.9.146/live/jz-cctv-5/live.m3u8
CCTV5,http://111.20.35.103:6610/yinhe/2/ch00000090990000001587/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV5,http://222.240.82.92:9901/tsfile/live/0005_1.m3u8
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5+,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV6,http://111.20.40.173/PLTV/88888893/224/3221226393/index.m3u8
CCTV6,http://111.20.40.172/PLTV/88888893/224/3221226393/index.m3u8
CCTV6,http://111.20.40.167/PLTV/88888893/224/3221226393/index.m3u8
CCTV6,http://111.20.40.166/PLTV/88888893/224/3221226393/index.m3u8
CCTV6,http://111.20.35.103:6610/yinhe/2/ch00000090990000001016/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV6,http://111.20.35.103:6610/yinhe/2/ch00000090990000001275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV6,http://123.6.9.146/live/jz-cctv-6/live.m3u8
CCTV6,http://222.240.82.92:9901/tsfile/live/0006_1.m3u8
CCTV7,http://111.20.35.103:6610/yinhe/2/ch00000090990000001017/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
